rowid;fpl_hostname;fpl_letter;fpl_name;fpl_discmethod;fpl_controvflag;fpl_disc;fpl_orbper;fpl_smax;fpl_eccen;fpl_bmasse;fpl_bmassj;fpl_bmassprov;fpl_rade;fpl_radj;fpl_rads;fpl_dens;fpl_eqt;fpl_insol;fpl_tranflag;fpl_cbflag;fpl_snum;ra_str;ra;dec_str;dec;fst_dist;fst_optmag;fst_optmagband;fst_nirmag;fst_nirmagband;fst_spt;fst_teff;fst_logg;fst_lum;fst_mass;fst_rad;fst_met;fst_metratio;fst_age
579;HD 19994;b;HD 19994 b;Radial Velocity;0;2003;46.620.000.000;1.305.000;0.063000;43.541.000;137.000;Msini;13.600;1.210;0.125;0.95100;;;0;0;1;03h12m46.44s;48.193.485;-01d11m46.0s;-1.196.101;22.54;5.060;V (Johnson);3.748;Ks (2MASS);G0 V;6188.00;4.01;0.566;1.36;1.84;0.270;[Fe/H];2.560
580;HD 20003;b;HD 20003 b;Radial Velocity;0;2019;1.184.820.000;0.097400;0.360000;1.166.000;0.03670;Msini;3.430;0.306;0.032;159.000;;;0;0;1;03h07m37.92s;46.907.997;-72d19m18.8s;-72.321.892;43.80;8.390;V (Johnson);6.647;Ks (2MASS);G8 V;5494.00;4.41;-0.143;0.88;0.92;0.040;[Fe/H];
581;HD 20003;c;HD 20003 c;Radial Velocity;0;2019;3.392.390.000;0.196400;0.100000;1.444.000;0.04540;Msini;3.890;0.347;0.036;135.000;;;0;0;1;03h07m37.92s;46.907.997;-72d19m18.8s;-72.321.892;43.80;8.390;V (Johnson);6.647;Ks (2MASS);G8 V;5494.00;4.41;-0.143;0.88;0.92;0.040;[Fe/H];
582;HD 200964;b;HD 200964 b;Radial Velocity;0;2010;60.630.000.000;1.565.000;0.087000;50.821.017;159.900;Msini;13.500;1.210;0.124;114.000;;;0;0;1;21h06m39.84s;316.666.016;+03d48m11.2s;3.803.119;72.74;6.480;V (Johnson);4.286;Ks (2MASS);G8 IV;4982.00;3.22;1.139;1.39;4.92;0.160;[Fe/H];1.230
583;HD 200964;c;HD 200964 c;Radial Velocity;0;2010;85.250.000.000;1.960.000;0.243000;38.584.562;121.400;Msini;13.700;1.220;0.125;0.82500;;;0;0;1;21h06m39.84s;316.666.016;+03d48m11.2s;3.803.119;72.74;6.480;V (Johnson);4.286;Ks (2MASS);G8 IV;4982.00;3.22;1.139;1.39;4.92;0.160;[Fe/H];1.230
584;HD 202206;c;HD 202206 c;Radial Velocity;0;2004;126.000.000.000;2.410.000;0.220000;568.915.700;1.790.000;Mass;12.200;1.080;0.111;1.720.000;;;0;1;2;21h14m57.77s;318.740.692;-20d47m21.2s;-20.789.209;46.03;8.080;V (Johnson);6.485;Ks (2MASS);G6 V;5760.00;4.51;0.035;1.27;1.03;0.340;[Fe/H];2.900
585;HD 202696;b;HD 202696 b;Radial Velocity;0;2019;51.780.000.000;1.566.000;0.011000;63.438.868;199.600;Mass;;;;;;;0;0;1;21h16m53.95s;319.224.792;+27d15m29.2s;27.258.121;189.56;8.230;V (Johnson);5.877;Ks (2MASS);K0 III-IV;5040.00;3.11;1.369;1.91;6.43;0.020;[Fe/H];1.320
586;HD 202696;c;HD 202696 c;Radial Velocity;0;2019;94.660.000.000;2.342.000;0.028000;59.243.512;186.400;Mass;;;;;;;0;0;1;21h16m53.95s;319.224.792;+27d15m29.2s;27.258.121;189.56;8.230;V (Johnson);5.877;Ks (2MASS);K0 III-IV;5040.00;3.11;1.369;1.91;6.43;0.020;[Fe/H];1.320
587;HD 202772 A;b;HD 202772 A b;Transit;0;2019;330.895.800;0.052080;0.038000;32.323.311;101.700;Mass;17.318;1.545;0.159;0.34300;2132;3440.00;1;0;2;21h18m47.901s;319.699.588;-26d36m58.95s;-26.616.375;147.20;8.227;G (Gaia);;;;6272.00;3.85;0.971;1.72;2.59;0.300;[Fe/H];1.700
588;HD 203030;b;HD 203030 b;Imaging;0;2006;;487.100.000;;765.609.700;2.409.000;Mass;12.000;1.070;0.110;2.430.000;1206;;0;0;1;21h18m58.22s;319.742.584;+26d13m50.0s;26.230.545;39.29;8.425;V (Johnson);6.653;Ks (2MASS);G8 V;5472.33;;-0.227;;0.86;;;0.220
