rowid;fpl_hostname;fpl_letter;fpl_name;fpl_discmethod;fpl_controvflag;fpl_disc;fpl_orbper;fpl_smax;fpl_eccen;fpl_bmasse;fpl_bmassj;fpl_bmassprov;fpl_rade;fpl_radj;fpl_rads;fpl_dens;fpl_eqt;fpl_insol;fpl_tranflag;fpl_cbflag;fpl_snum;ra_str;ra;dec_str;dec;fst_dist;fst_optmag;fst_optmagband;fst_nirmag;fst_nirmagband;fst_spt;fst_teff;fst_logg;fst_lum;fst_mass;fst_rad;fst_met;fst_metratio;fst_age
1679;Kepler-1248;b;Kepler-1248 b;Transit;0;2016;746.725.407;;;176.000;0.00553;M-R relationship;1.180;0.105;0.011;589.000;;;1;0;1;19h12m14.24s;288.059.319;+51d21m16.0s;51.354.454;540.00;12.925;G (Gaia);11.449;Ks (2MASS);;6149.00;4.36;0.276;1.21;1.21;0.240;[Fe/H];1.510
1680;Kepler-1249;b;Kepler-1249 b;Transit;0;2016;2.433.471.270;;;626.000;0.01970;M-R relationship;2.380;0.212;0.022;255.000;;98.34;1;0;1;19h47m34.77s;296.894.856;+44d22m18.4s;44.371.780;1674.00;15.352;G (Gaia);13.828;Ks (2MASS);;6202.00;4.29;0.350;1.19;1.28;0.060;[Fe/H];2.820
1681;Kepler-125;b;Kepler-125 b;Transit;0;2014;416.438.900;0.041000;;621.000;0.01950;M-R relationship;2.370;0.211;0.022;256.000;594;33.18;1;0;1;19h53m01.95s;298.258.123;+47d36m17.8s;47.604.946;184.34;14.768;G (Gaia);11.682;Ks (2MASS);M1 V;3810.00;4.74;-1.328;0.53;0.51;-0.140;[Fe/H];3.800
1682;Kepler-125;c;Kepler-125 c;Transit;0;2014;577.446.400;0.051000;;0.33000;0.00104;M-R relationship;0.740;0.066;0.007;447.000;;16.81;1;0;1;19h53m01.95s;298.258.123;+47d36m17.8s;47.604.946;184.34;14.768;G (Gaia);11.682;Ks (2MASS);M1 V;3810.00;4.74;-1.328;0.53;0.51;-0.140;[Fe/H];3.800
1683;Kepler-1250;b;Kepler-1250 b;Transit;0;2016;260.754.383;;;435.000;0.01370;M-R relationship;1.920;0.171;0.018;338.000;;1866.19;1;0;1;19h11m10.53s;287.793.862;+45d58m48.9s;45.980.240;1371.00;15.569;G (Gaia);14.008;Ks (2MASS);;5717.00;4.46;0.361;0.99;0.98;0.040;[Fe/H];4.570
1684;Kepler-1251;b;Kepler-1251 b;Transit;0;2016;4.509.046.430;;;404.000;0.01270;M-R relationship;1.840;0.164;0.017;356.000;;13.78;1;0;1;19h28m27.64s;292.115.153;+49d15m23.1s;49.256.428;863.00;14.939;G (Gaia);13.269;Ks (2MASS);;5545.00;4.51;-0.155;0.92;0.89;-0.040;[Fe/H];4.790
1685;Kepler-1252;b;Kepler-1252 b;Transit;0;2016;1.505.403.290;;;343.000;0.01080;M-R relationship;1.670;0.149;0.015;405.000;;57.58;1;0;1;19h55m48.08s;298.950.318;+46d41m34.1s;46.692.799;828.00;14.495;G (Gaia);12.690;Ks (2MASS);;5949.00;4.38;-0.256;1.06;1.09;0.030;[Fe/H];3.890
1686;Kepler-1253;b;Kepler-1253 b;Transit;0;2016;6.888.619.150;;;233.000;0.00733;M-R relationship;1.330;0.119;0.012;544.000;;21.62;1;0;1;18h55m32.43s;283.885.115;+47d38m14.0s;47.637.222;390.00;12.457;G (Gaia);11.016;Ks (2MASS);;5850.00;4.33;0.324;0.97;1.10;-0.140;[Fe/H];7.080
1687;Kepler-1254;b;Kepler-1254 b;Transit;0;2016;999.113.313;;;302.000;0.00951;M-R relationship;1.550;0.138;0.014;446.000;;33.98;1;0;1;19h00m41.60s;285.173.326;+48d46m12.2s;48.770.042;676.00;15.302;G (Gaia);13.292;Ks (2MASS);;4985.00;4.59;-0.598;0.78;0.75;-0.100;[Fe/H];5.620
1688;Kepler-1254;c;Kepler-1254 c;Transit;0;2016;360.084.276;;;224.000;0.00705;M-R relationship;1.300;0.116;0.012;560.000;;132.39;1;0;1;19h00m41.60s;285.173.326;+48d46m12.2s;48.770.042;676.00;15.302;G (Gaia);13.292;Ks (2MASS);;4985.00;4.59;-0.598;0.78;0.75;-0.100;[Fe/H];5.620
1689;Kepler-1254;d;Kepler-1254 d;Transit;0;2016;572.717.226;;;227.000;0.00714;M-R relationship;1.310;0.117;0.012;555.000;;71.31;1;0;1;19h00m41.60s;285.173.326;+48d46m12.2s;48.770.042;676.00;15.302;G (Gaia);13.292;Ks (2MASS);;4985.00;4.59;-0.598;0.78;0.75;-0.100;[Fe/H];5.620
1690;Kepler-1255;b;Kepler-1255 b;Transit;0;2016;3.629.193.360;;;599.000;0.01890;M-R relationship;2.320;0.207;0.021;264.000;;39.67;1;0;1;19h40m57.43s;295.239.275;+42d43m35.3s;42.726.479;1344.00;15.199;G (Gaia);13.692;Ks (2MASS);;6018.00;4.37;0.254;1.08;1.12;0.020;[Fe/H];3.550
1691;Kepler-1256;b;Kepler-1256 b;Transit;0;2016;1.241.277.540;;;283.000;0.00889;M-R relationship;1.490;0.133;0.014;470.000;;211.55;1;0;1;19h25m53.83s;291.474.304;+44d41m00.7s;44.683.514;862.00;13.513;G (Gaia);12.234;Ks (2MASS);;6129.00;4.23;0.385;1.17;1.36;0.050;[Fe/H];3.720
1692;Kepler-1257;b;Kepler-1257 b;Transit;0;2016;266.831.376;;;292.000;0.00920;M-R relationship;1.520;0.136;0.014;457.000;;546.91;1;0;1;19h44m18.16s;296.075.676;+45d37m37.4s;45.627.056;1081.00;15.512;G (Gaia);13.848;Ks (2MASS);;5502.00;4.52;-0.201;0.90;0.87;-0.090;[Fe/H];4.370
1693;Kepler-1258;b;Kepler-1258 b;Transit;0;2016;0.98494017;;;0.56600;0.00178;M-R relationship;0.860;0.077;0.008;489.000;;2775.00;1;0;1;19h01m37.19s;285.404.941;+49d59m41.1s;49.994.747;651.00;13.785;G (Gaia);12.382;Ks (2MASS);;5839.00;4.45;0.086;0.99;0.99;-0.070;[Fe/H];3.890
1694;Kepler-1259;b;Kepler-1259 b;Transit;0;2016;0.66308526;;;263.000;0.00829;M-R relationship;1.430;0.128;0.013;494.000;;2460.58;1;0;1;19h51m21.96s;297.841.489;+46d58m03.7s;46.967.682;704.00;15.333;G (Gaia);13.280;Ks (2MASS);;5053.00;4.58;-0.378;0.80;0.77;-0.070;[Fe/H];5.250
1695;Kepler-126;b;Kepler-126 b;Transit;0;2014;1.049.571.100;0.099000;0.070000;292.000;0.00920;M-R relationship;1.520;0.136;0.014;457.000;;298.09;1;0;1;19h17m23.35s;289.347.291;+44d12m30.8s;44.208.553;239.03;10.454;G (Gaia);9.344;Ks (2MASS);;6239.00;4.25;0.439;1.15;1.36;-0.070;[Fe/H];3.390
1696;Kepler-126;c;Kepler-126 c;Transit;0;2014;2.186.974.100;0.162000;0.190000;312.000;0.00982;M-R relationship;1.580;0.141;0.015;435.000;;112.13;1;0;1;19h17m23.35s;289.347.291;+44d12m30.8s;44.208.553;239.03;10.454;G (Gaia);9.344;Ks (2MASS);;6239.00;4.25;0.439;1.15;1.36;-0.070;[Fe/H];3.390
1697;Kepler-126;d;Kepler-126 d;Transit;0;2014;10.028.313.400;0.448000;0.020000;680.000;0.02140;M-R relationship;2.500;0.223;0.023;239.000;;14.71;1;0;1;19h17m23.35s;289.347.291;+44d12m30.8s;44.208.553;239.03;10.454;G (Gaia);9.344;Ks (2MASS);;6239.00;4.25;0.439;1.15;1.36;-0.070;[Fe/H];3.390
1698;Kepler-1260;b;Kepler-1260 b;Transit;0;2016;1.911.877.530;;;378.000;0.01190;M-R relationship;1.770;0.158;0.016;375.000;;171.93;1;0;1;19h42m21.90s;295.591.254;+42d33m18.9s;42.555.241;1041.00;14.823;G (Gaia);13.183;Ks (2MASS);;5961.00;4.39;0.481;1.06;1.08;0.010;[Fe/H];3.800
1699;Kepler-1261;b;Kepler-1261 b;Transit;0;2016;4.843.089.910;;;573.000;0.01800;M-R relationship;2.260;0.202;0.021;273.000;;4.74;1;0;1;19h00m55.79s;285.232.450;+48d48m24.2s;48.806.721;795.00;15.582;G (Gaia);13.558;Ks (2MASS);;5006.00;4.58;-0.544;0.82;0.77;0.030;[Fe/H];4.470
1700;Kepler-1262;b;Kepler-1262 b;Transit;0;2016;867.900.242;;;397.000;0.01250;M-R relationship;1.820;0.162;0.017;362.000;;142.54;1;0;1;19h15m05.24s;288.771.814;+42d12m47.6s;42.213.219;1153.00;15.184;G (Gaia);13.629;Ks (2MASS);;5771.00;4.45;-0.118;0.99;0.98;-0.020;[Fe/H];4.270
1701;Kepler-1263;b;Kepler-1263 b;Transit;0;2016;455.139.967;;;155.000;0.00489;M-R relationship;1.140;0.102;0.010;575.000;;144.81;1;0;1;19h05m56.08s;286.483.651;+46d45m09.4s;46.752.617;695.00;15.001;G (Gaia);13.080;Ks (2MASS);;5213.00;4.56;-0.421;0.84;0.80;-0.030;[Fe/H];4.900
1702;Kepler-1264;b;Kepler-1264 b;Transit;0;2016;0.96852602;;;176.000;0.00553;M-R relationship;1.180;0.105;0.011;589.000;;2367.80;1;0;1;19h19m32.25s;289.884.378;+45d12m41.4s;45.211.502;814.00;14.479;G (Gaia);12.901;Ks (2MASS);;5791.00;4.45;-0.079;0.99;0.98;-0.020;[Fe/H];4.170
1703;Kepler-1265;b;Kepler-1265 b;Transit;0;2016;649.441.289;;;239.000;0.00752;M-R relationship;1.350;0.120;0.012;534.000;;58.15;1;0;1;18h58m20.59s;284.585.789;+47d04m46.3s;47.079.533;581.00;15.566;G (Gaia);13.200;Ks (2MASS);;4630.00;4.63;-0.767;0.71;0.69;-0.100;[Fe/H];5.250
1704;Kepler-1266;b;Kepler-1266 b;Transit;0;2016;2.847.474.800;;;718.000;0.02260;M-R relationship;2.580;0.230;0.024;230.000;;10.31;1;0;1;19h03m28.63s;285.869.287;+42d43m41.1s;42.728.096;901.00;15.836;G (Gaia);13.824;Ks (2MASS);;5044.00;4.59;-0.538;0.80;0.76;-0.070;[Fe/H];5.130
1705;Kepler-1267;b;Kepler-1267 b;Transit;0;2016;1.303.139.450;;;932.000;0.02930;M-R relationship;3.010;0.269;0.028;188.000;;86.47;1;0;1;19h56m40.69s;299.169.533;+43d26m27.9s;43.441.094;1628.00;15.814;G (Gaia);13.937;Ks (2MASS);;6096.00;4.33;-0.102;1.15;1.20;0.070;[Fe/H];3.240
1706;Kepler-1268;b;Kepler-1268 b;Transit;0;2016;4.099.039.860;;;478.000;0.01500;M-R relationship;2.030;0.181;0.019;314.000;;40.65;1;0;1;19h11m21.24s;287.838.481;+43d09m11.6s;43.153.236;1406.00;15.222;G (Gaia);13.764;Ks (2MASS);;5904.00;4.38;0.360;1.06;1.09;0.050;[Fe/H];4.270
1707;Kepler-1269;b;Kepler-1269 b;Transit;0;2016;3.733.315.360;;;329.000;0.01040;M-R relationship;1.630;0.145;0.015;417.000;;69.00;1;0;1;19h11m13.34s;287.805.581;+45d20m26.0s;45.340.549;710.00;13.570;G (Gaia);12.218;Ks (2MASS);;5998.00;4.36;0.549;1.10;1.15;0.070;[Fe/H];3.550
1708;Kepler-127;b;Kepler-127 b;Transit;0;2014;1.443.588.900;0.125000;0.470000;254.000;0.00800;M-R relationship;1.400;0.125;0.013;509.000;;159.16;1;0;1;19h00m45.60s;285.189.985;+46d01m40.7s;46.027.962;356.41;11.438;G (Gaia);10.234;Ks (2MASS);;6106.00;4.26;0.393;1.25;1.36;0.240;[Fe/H];2.630
1709;Kepler-127;c;Kepler-127 c;Transit;0;2014;2.939.319.500;0.200000;0.030000;756.000;0.02380;M-R relationship;2.660;0.237;0.024;221.000;;61.69;1;0;1;19h00m45.60s;285.189.985;+46d01m40.7s;46.027.962;356.41;11.438;G (Gaia);10.234;Ks (2MASS);;6106.00;4.26;0.393;1.25;1.36;0.240;[Fe/H];2.630
1710;Kepler-127;d;Kepler-127 d;Transit;0;2014;4.863.040.800;0.280000;0.030000;746.000;0.02350;M-R relationship;2.640;0.236;0.024;223.000;;31.52;1;0;1;19h00m45.60s;285.189.985;+46d01m40.7s;46.027.962;356.41;11.438;G (Gaia);10.234;Ks (2MASS);;6106.00;4.26;0.393;1.25;1.36;0.240;[Fe/H];2.630
1711;Kepler-1270;b;Kepler-1270 b;Transit;0;2016;603.356.196;;;1.100.000;0.03460;M-R relationship;3.320;0.296;0.030;165.000;;1217.39;1;0;1;19h06m51.75s;286.715.634;+48d38m43.0s;48.645.279;1204.00;13.285;G (Gaia);11.242;Ks (2MASS);;5047.00;3.49;0.713;1.28;3.38;-0.020;[Fe/H];4.370
1712;Kepler-1271;b;Kepler-1271 b;Transit;0;2016;302.559.550;;;279.000;0.00879;M-R relationship;1.480;0.132;0.014;473.000;;975.18;1;0;1;19h05m22.63s;286.344.287;+37d24m43.1s;37.411.973;885.00;13.868;G (Gaia);12.503;Ks (2MASS);;6143.00;4.31;0.185;1.13;1.23;-0.010;[Fe/H];3.630
1713;Kepler-1272;b;Kepler-1272 b;Transit;0;2016;5.113.097.040;;;621.000;0.01950;M-R relationship;2.370;0.211;0.022;256.000;;34.43;1;0;1;19h00m52.76s;285.219.843;+38d48m21.2s;38.805.878;896.00;14.384;G (Gaia);12.888;Ks (2MASS);;5926.00;4.39;0.324;1.06;1.09;0.060;[Fe/H];3.890
1714;Kepler-1273;b;Kepler-1273 b;Transit;0;2016;2.862.565.300;;;676.000;0.02130;M-R relationship;2.490;0.222;0.023;241.000;;14.88;1;0;1;19h03m12.77s;285.803.226;+44d52m24.3s;44.873.428;1355.00;15.796;G (Gaia);14.260;Ks (2MASS);;5566.00;4.50;-0.309;0.94;0.91;0.030;[Fe/H];4.470
1715;Kepler-1274;b;Kepler-1274 b;Transit;0;2016;698.152.703;;;260.000;0.00819;M-R relationship;1.420;0.127;0.013;499.000;;975.81;1;0;1;18h58m22.49s;284.593.715;+46d26m59.2s;46.449.776;609.00;11.682;G (Gaia);10.454;Ks (2MASS);;6179.00;3.93;0.787;1.45;2.17;0.110;[Fe/H];2.880
1716;Kepler-1275;b;Kepler-1275 b;Transit;0;2016;365.691.115;;;279.000;0.00879;M-R relationship;1.480;0.132;0.014;473.000;;822.48;1;0;1;19h34m00.12s;293.500.497;+44d55m56.8s;44.932.457;1280.00;14.406;G (Gaia);13.062;Ks (2MASS);;6296.00;4.26;0.260;1.23;1.36;0.040;[Fe/H];2.510
1717;Kepler-1276;b;Kepler-1276 b;Transit;0;2016;1.257.200.950;;;181.000;0.00570;M-R relationship;1.190;0.106;0.011;590.000;;139.77;1;0;1;19h11m25.68s;287.857.010;+40d32m49.9s;40.547.181;587.00;12.848;G (Gaia);11.639;Ks (2MASS);;6188.00;4.33;0.200;1.14;1.21;-0.020;[Fe/H];3.090
1718;Kepler-1277;b;Kepler-1277 b;Transit;0;2016;4.083.650.120;;;319.000;0.01000;M-R relationship;1.600;0.143;0.015;428.000;;12.11;1;0;1;19h40m24.58s;295.102.413;+40d34m20.6s;40.572.396;606.00;14.093;G (Gaia);12.427;Ks (2MASS);;5578.00;4.49;-0.245;0.94;0.92;-0.010;[Fe/H];5.010
1719;Kepler-1278;b;Kepler-1278 b;Transit;0;2016;323.941.344;;;101.000;0.00317;M-R relationship;1.010;0.090;0.009;539.000;;1314.67;1;0;1;18h51m49.66s;282.956.935;+42d49m32.2s;42.825.619;743.00;13.632;G (Gaia);12.270;Ks (2MASS);;6074.00;4.35;0.338;1.11;1.16;0.020;[Fe/H];3.310
1720;Kepler-1279;b;Kepler-1279 b;Transit;0;2016;2.347.741.010;;;371.000;0.01170;M-R relationship;1.750;0.156;0.016;380.000;;190.85;1;0;1;19h12m22.95s;288.095.635;+40d21m57.5s;40.365.964;1017.00;13.932;G (Gaia);12.620;Ks (2MASS);;6221.00;4.26;0.684;1.21;1.33;0.060;[Fe/H];2.820
1721;Kepler-128;b;Kepler-128 b;Transit;0;2013;1.509.000.000;0.126400;;0.77000;0.00242;Mass;1.430;0.128;0.013;146.000;970;227.40;1;0;1;18h49m58.13s;282.492.224;+43d58m48.8s;43.980.213;400.93;11.289;G (Gaia);10.109;Ks (2MASS);;6136.00;4.07;0.557;1.09;1.61;0.000;[Fe/H];4.070
1722;Kepler-128;c;Kepler-128 c;Transit;0;2013;2.280.400.000;0.166400;;0.90000;0.00283;Mass;1.340;0.120;0.012;207.000;845;130.98;1;0;1;18h49m58.13s;282.492.224;+43d58m48.8s;43.980.213;400.93;11.289;G (Gaia);10.109;Ks (2MASS);;6136.00;4.07;0.557;1.09;1.61;0.000;[Fe/H];4.070
1723;Kepler-1280;b;Kepler-1280 b;Transit;0;2016;6.655.790.570;;;416.000;0.01310;M-R relationship;1.870;0.167;0.017;350.000;;35.29;1;0;1;19h34m17.74s;293.573.935;+45d23m04.3s;45.384.541;1006.00;14.000;G (Gaia);12.602;Ks (2MASS);;6227.00;4.28;0.650;1.20;1.32;0.040;[Fe/H];2.820
1724;Kepler-1281;b;Kepler-1281 b;Transit;0;2016;311.602.791;;;333.000;0.01050;M-R relationship;1.640;0.146;0.015;415.000;;;1;0;1;19h41m25.07s;295.354.457;+48d30m55.5s;48.515.404;1090.00;15.997;G (Gaia);13.929;Ks (2MASS);;5353.00;4.55;-0.292;0.87;0.83;-0.040;[Fe/H];4.370
1725;Kepler-1282;b;Kepler-1282 b;Transit;0;2016;213.194.651;;;302.000;0.00951;M-R relationship;1.550;0.138;0.014;446.000;;672.53;1;0;1;19h20m42.28s;290.176.173;+46d41m54.0s;46.698.338;1126.00;15.492;G (Gaia);13.852;Ks (2MASS);;5504.00;4.51;-0.195;0.92;0.89;0.010;[Fe/H];4.570
1726;Kepler-1283;b;Kepler-1283 b;Transit;0;2016;1.294.609.780;;;431.000;0.01360;M-R relationship;1.910;0.170;0.018;340.000;;730.20;1;0;1;19h41m50.96s;295.462.337;+40d46m37.1s;40.776.969;1452.00;15.070;G (Gaia);13.567;Ks (2MASS);;6175.00;4.31;0.863;1.16;1.25;0.040;[Fe/H];2.880
1727;Kepler-1284;b;Kepler-1284 b;Transit;0;2016;0.66407381;;;192.000;0.00606;M-R relationship;1.210;0.108;0.011;596.000;;2190.08;1;0;1;19h25m06.96s;291.279.002;+47d41m15.5s;47.687.649;852.00;15.662;G (Gaia);13.572;Ks (2MASS);;5123.00;4.57;-0.425;0.84;0.79;0.030;[Fe/H];4.470
1728;Kepler-1285;b;Kepler-1285 b;Transit;0;2016;1.479.674.580;;;0.87100;0.00274;M-R relationship;0.970;0.087;0.009;524.000;;181.59;1;0;1;18h47m20.49s;281.835.355;+44d09m21.3s;44.155.926;364.00;11.650;G (Gaia);10.484;Ks (2MASS);;6170.00;4.30;0.468;1.20;1.28;0.160;[Fe/H];2.750
1729;Kepler-1286;b;Kepler-1286 b;Transit;0;2016;1.125.402.929;;;527.000;0.01660;M-R relationship;2.150;0.192;0.020;291.000;;151.77;1;0;1;18h41m02.01s;280.258.382;+43d50m08.8s;43.835.766;1150.00;15.142;G (Gaia);13.655;Ks (2MASS);;5753.00;4.45;0.121;1.00;0.98;0.030;[Fe/H];4.170
1730;Kepler-1287;b;Kepler-1287 b;Transit;0;2016;1.147.685.909;;;299.000;0.00940;M-R relationship;1.540;0.137;0.014;450.000;;78.16;1;0;1;19h16m32.32s;289.134.661;+47d03m46.8s;47.062.996;1027.00;15.007;G (Gaia);13.505;Ks (2MASS);;5715.00;4.48;-0.106;0.96;0.94;-0.050;[Fe/H];4.070
1731;Kepler-1288;b;Kepler-1288 b;Transit;0;2016;276.122.421;;;146.000;0.00459;M-R relationship;1.120;0.100;0.010;571.000;;;1;0;1;19h02m51.24s;285.713.488;+41d36m21.1s;41.605.873;715.00;13.177;G (Gaia);11.959;Ks (2MASS);;6132.00;4.29;0.302;1.20;1.29;0.140;[Fe/H];2.880
1732;Kepler-1289;b;Kepler-1289 b;Transit;0;2016;799.019.627;;;292.000;0.00920;M-R relationship;1.520;0.136;0.014;457.000;;223.44;1;0;1;19h45m33.31s;296.388.807;+41d02m26.1s;41.040.571;1059.00;14.599;G (Gaia);13.043;Ks (2MASS);;6080.00;4.35;0.116;1.10;1.17;0.020;[Fe/H];2.950
1733;Kepler-129;b;Kepler-129 b;Transit;0;2014;1.579.186.000;0.131000;0.010000;621.000;0.01950;M-R relationship;2.370;0.211;0.022;256.000;;158.31;1;0;1;19h01m14.71s;285.311.284;+47d50m54.9s;47.848.595;413.68;11.644;G (Gaia);10.252;Ks (2MASS);;5770.00;4.09;0.454;1.07;1.64;0.330;[Fe/H];8.910
1734;Kepler-129;c;Kepler-129 c;Transit;0;2014;8.220.017.000;0.393000;0.200000;704.000;0.02210;M-R relationship;2.550;0.227;0.023;233.000;;17.55;1;0;1;19h01m14.71s;285.311.284;+47d50m54.9s;47.848.595;413.68;11.644;G (Gaia);10.252;Ks (2MASS);;5770.00;4.09;0.454;1.07;1.64;0.330;[Fe/H];8.910
1735;Kepler-1290;b;Kepler-1290 b;Transit;0;2016;469.500.134;;;260.000;0.00819;M-R relationship;1.420;0.127;0.013;499.000;;443.22;1;0;1;19h22m44.46s;290.685.249;+43d51m34.7s;43.859.638;1321.00;15.691;G (Gaia);14.112;Ks (2MASS);;5660.00;4.49;0.051;0.95;0.93;-0.020;[Fe/H];4.070
1736;Kepler-1291;b;Kepler-1291 b;Transit;0;2016;863.043.276;;;339.000;0.01070;M-R relationship;1.660;0.148;0.015;407.000;;62.82;1;0;1;19h17m30.49s;289.377.032;+40d00m04.1s;40.001.151;982.00;15.883;G (Gaia);13.893;Ks (2MASS);;5216.00;4.56;-0.505;0.84;0.80;-0.040;[Fe/H];4.900
1737;Kepler-1292;b;Kepler-1292 b;Transit;0;2016;327.646.405;;;397.000;0.01250;M-R relationship;1.820;0.162;0.017;362.000;;521.10;1;0;1;18h59m37.37s;284.905.720;+43d56m57.0s;43.949.169;1406.00;15.948;G (Gaia);14.190;Ks (2MASS);;5556.00;4.49;-0.092;0.95;0.93;0.080;[Fe/H];4.680
1738;Kepler-1293;b;Kepler-1293 b;Transit;0;2016;557.654.784;;;0.87100;0.00274;M-R relationship;0.970;0.087;0.009;524.000;;929.12;1;0;1;19h20m06.22s;290.025.921;+48d20m09.4s;48.335.949;770.00;13.300;G (Gaia);12.075;Ks (2MASS);;6241.00;4.29;0.593;1.18;1.28;0.000;[Fe/H];2.820
1739;Kepler-1294;b;Kepler-1294 b;Transit;0;2016;11.568.622.580;;;1.030.000;0.03240;M-R relationship;3.190;0.285;0.029;174.000;;12.36;1;0;1;19h25m04.34s;291.268.101;+44d29m17.5s;44.488.194;1120.00;15.150;G (Gaia);13.597;Ks (2MASS);;5776.00;4.46;0.409;0.99;0.97;-0.030;[Fe/H];3.980
1740;Kepler-1295;b;Kepler-1295 b;Transit;0;2016;381.371.974;;;302.000;0.00951;M-R relationship;1.550;0.138;0.014;446.000;;279.94;1;0;1;19h25m35.49s;291.397.864;+45d35m18.8s;45.588.559;1257.00;15.908;G (Gaia);14.092;Ks (2MASS);;5486.00;4.51;-0.285;0.92;0.89;0.040;[Fe/H];4.680
1741;Kepler-1296;b;Kepler-1296 b;Transit;0;2016;838.398.650;;;0.69300;0.00218;M-R relationship;0.910;0.081;0.008;505.000;;399.01;1;0;1;19h28m30.05s;292.125.189;+41d24m28.1s;41.407.814;631.00;14.627;G (Gaia);12.801;Ks (2MASS);;5359.00;4.55;0.479;0.87;0.83;-0.040;[Fe/H];4.170
1742;Kepler-1297;b;Kepler-1297 b;Transit;0;2016;168.189.002;;;0.87100;0.00274;M-R relationship;0.970;0.087;0.009;524.000;;2760.59;1;0;1;19h19m49.56s;289.956.501;+47d01m13.4s;47.020.393;996.00;14.782;G (Gaia);13.262;Ks (2MASS);;5818.00;4.45;0.311;0.99;0.99;-0.040;[Fe/H];4.170
1743;Kepler-1298;b;Kepler-1298 b;Transit;0;2016;712.811.928;;;227.000;0.00714;M-R relationship;1.310;0.117;0.012;555.000;;1003.03;1;0;1;18h57m41.46s;284.422.735;+49d06m22.4s;49.106.224;498.00;11.313;G (Gaia);10.149;Ks (2MASS);;6339.00;4.00;0.824;1.45;2.00;0.130;[Fe/H];2.570
1744;Kepler-1299;b;Kepler-1299 b;Transit;0;2016;1.994.008.740;;;917.000;0.02880;M-R relationship;2.980;0.266;0.027;190.000;;45.15;1;0;1;19h04m36.04s;286.150.155;+37d24m41.0s;37.411.377;1352.00;15.900;G (Gaia);14.191;Ks (2MASS);;5609.00;4.50;-0.123;0.94;0.91;-0.010;[Fe/H];4.370
1745;Kepler-130;b;Kepler-130 b;Transit;0;2014;845.745.800;0.079000;0.150000;104.000;0.00328;M-R relationship;1.020;0.091;0.009;539.000;;221.73;1;0;1;19h13m48.16s;288.450.665;+40d14m43.1s;40.245.305;319.57;11.825;G (Gaia);10.490;Ks (2MASS);;5884.00;4.30;0.147;1.02;1.13;-0.140;[Fe/H];5.890
1746;Kepler-130;c;Kepler-130 c;Transit;0;2014;2.750.868.000;0.178000;0.000000;875.000;0.02750;M-R relationship;2.900;0.259;0.027;197.000;683;46.01;1;0;1;19h13m48.16s;288.450.665;+40d14m43.1s;40.245.305;319.57;11.825;G (Gaia);10.490;Ks (2MASS);;5884.00;4.30;0.147;1.02;1.13;-0.140;[Fe/H];5.890
1747;Kepler-130;d;Kepler-130 d;Transit;0;2014;8.751.790.500;0.377000;0.800000;333.000;0.01050;M-R relationship;1.640;0.146;0.015;415.000;;9.83;1;0;1;19h13m48.16s;288.450.665;+40d14m43.1s;40.245.305;319.57;11.825;G (Gaia);10.490;Ks (2MASS);;5884.00;4.30;0.147;1.02;1.13;-0.140;[Fe/H];5.890
1748;Kepler-1300;b;Kepler-1300 b;Transit;0;2016;2.224.190.920;;;245.000;0.00771;M-R relationship;1.370;0.122;0.013;524.000;;149.41;1;0;1;19h16m07.93s;289.033.022;+40d05m12.8s;40.086.887;757.00;12.768;G (Gaia);11.383;Ks (2MASS);;6130.00;4.04;0.564;1.29;1.79;0.050;[Fe/H];3.550
1749;Kepler-1301;b;Kepler-1301 b;Transit;0;2016;908.237.046;;;254.000;0.00800;M-R relationship;1.400;0.125;0.013;509.000;;76.14;1;0;1;19h06m25.00s;286.604.183;+42d26m25.1s;42.440.319;816.00;15.373;G (Gaia);13.469;Ks (2MASS);;5188.00;4.56;-0.347;0.85;0.81;0.010;[Fe/H];4.900
1750;Kepler-1302;b;Kepler-1302 b;Transit;0;2016;883.922.659;;;263.000;0.00829;M-R relationship;1.430;0.128;0.013;494.000;;58.34;1;0;1;19h23m57.42s;290.989.241;+50d18m29.0s;50.308.060;727.00;15.039;G (Gaia);13.151;Ks (2MASS);;5236.00;4.55;-0.480;0.86;0.82;0.040;[Fe/H];4.680
1751;Kepler-1303;b;Kepler-1303 b;Transit;0;2016;756.127.224;;;260.000;0.00819;M-R relationship;1.420;0.127;0.013;499.000;;182.38;1;0;1;18h57m08.92s;284.287.156;+42d21m20.2s;42.355.614;905.00;14.616;G (Gaia);13.086;Ks (2MASS);;5771.00;4.44;-0.035;1.01;1.00;0.040;[Fe/H];4.470
1752;Kepler-1304;b;Kepler-1304 b;Transit;0;2016;1.612.888.530;;;586.000;0.01840;M-R relationship;2.290;0.204;0.021;268.000;;345.81;1;0;1;19h01m06.34s;285.276.428;+39d26m48.9s;39.446.916;682.00;15.045;G (Gaia);13.054;Ks (2MASS);;5259.00;4.56;0.639;0.85;0.81;-0.050;[Fe/H];4.680
1753;Kepler-1305;b;Kepler-1305 b;Transit;0;2016;1.356.309.720;;;419.000;0.01320;M-R relationship;1.880;0.168;0.017;347.000;;103.51;1;0;1;19h49m21.47s;297.339.446;+46d20m50.1s;46.347.252;1343.00;15.714;G (Gaia);14.104;Ks (2MASS);;5701.00;4.47;0.036;0.97;0.96;0.010;[Fe/H];4.370
